date,gross,net,turnover,cost_fraction,equity_weight
2020-07-27,0.0,0.0,0.0,0.0,0.0
2020-07-28,0.0,-0.0009990009990009652,0.999000999000999,0.000999000999000999,1.0
2020-07-29,-0.0014504705308275856,-0.0014504705308275856,0.0,0.0,1.0
2020-07-30,0.01248705029301056,0.01248705029301056,0.0,0.0,1.0
2020-07-31,0.008198887414475164,0.008198887414475164,0.0,0.0,1.0
2020-08-03,0.0059459824930272465,0.0059459824930272465,0.0,0.0,1.0
2020-08-04,-0.015290088108513178,-0.015290088108513178,0.0,0.0,1.0
2020-08-05,-0.00592718858070751,-0.00592718858070751,0.0,0.0,1.0
2020-08-06,-0.0011253949768925686,-0.0011253949768925686,0.0,0.0,1.0
2020-08-07,-0.0029569174814060295,-0.0029569174814060295,0.0,0.0,1.0
2020-08-10,0.00160346518628951,0.00160346518628951,0.0,0.0,1.0
2020-08-11,-0.0010850734464129541,-0.0010850734464129541,0.0,0.0,1.0
2020-08-12,0.0032526841168580845,0.0032526841168580845,0.0,0.0,1.0
2020-08-13,0.0035985000349187946,0.0035985000349187946,0.0,0.0,1.0
2020-08-14,0.005503169416955611,0.005503169416955611,0.0,0.0,1.0
2020-08-17,-0.007395648562509849,-0.007395648562509849,0.0,0.0,1.0
2020-08-18,-0.011263451322273799,-0.011263451322273799,0.0,0.0,1.0
2020-08-19,-0.002838100526726839,-0.002838100526726839,0.0,0.0,1.0
2020-08-20,-0.004374465798705041,-0.004374465798705041,0.0,0.0,1.0
2020-08-21,-0.001813657921343803,-0.001813657921343803,0.0,0.0,1.0
2020-08-24,0.006304579262878196,0.006304579262878196,0.0,0.0,1.0
2020-08-25,-0.0019980223626211435,-0.0019980223626211435,0.0,0.0,1.0
2020-08-26,-0.0005806391445162262,-0.0005806391445162262,0.0,0.0,1.0
2020-08-27,0.0011666418682272361,0.0011666418682272361,0.0,0.0,1.0
2020-08-28,0.007179352299147235,0.007179352299147235,0.0,0.0,1.0
2020-08-31,-0.0047523065341207316,-0.0047523065341207316,0.0,0.0,1.0
2020-09-01,-0.0003354875845934524,-0.0003354875845934524,0.0,0.0,1.0
2020-09-02,0.0001291351918126793,0.0001291351918126793,0.0,0.0,1.0
2020-09-03,-0.0022194576309646497,-0.0022194576309646497,0.0,0.0,1.0
2020-09-04,0.0039123117714545685,0.0039123117714545685,0.0,0.0,1.0
2020-09-07,-0.011229032947283613,-0.011229032947283613,0.0,0.0,1.0
2020-09-08,-0.007821828142303366,-0.007821828142303366,0.0,0.0,1.0
2020-09-09,-0.005248600104133527,-0.005248600104133527,0.0,0.0,1.0
2020-09-10,-0.005141910490067292,-0.005141910490067292,0.0,0.0,1.0
2020-09-11,-0.00346046272922107,-0.00346046272922107,0.0,0.0,1.0
2020-09-14,-0.008007322171842524,-0.008007322171842524,0.0,0.0,1.0
2020-09-15,0.0002989679380467347,0.0002989679380467347,0.0,0.0,1.0
2020-09-16,-0.006767295187528166,-0.006767295187528166,0.0,0.0,1.0
2020-09-17,0.0012250118398611232,0.0012250118398611232,0.0,0.0,1.0
2020-09-18,0.005408595983441344,0.005408595983441344,0.0,0.0,1.0
2020-09-21,0.004190836975545897,0.004190836975545897,0.0,0.0,1.0
2020-09-22,-0.0008947986254188578,-0.0008947986254188578,0.0,0.0,1.0
2020-09-23,-0.0028877770424845517,-0.0028877770424845517,0.0,0.0,1.0
2020-09-24,0.00012032166457021098,0.00012032166457021098,0.0,0.0,1.0
2020-09-25,0.0007506232563634363,0.0007506232563634363,0.0,0.0,1.0
2020-09-28,-0.011607094161463327,-0.011607094161463327,0.0,0.0,1.0
2020-09-29,-0.0006744177506909921,-0.0006744177506909921,0.0,0.0,1.0
2020-09-30,-0.0005820640501277285,-0.0005820640501277285,0.0,0.0,1.0
2020-10-01,-0.007570965880735359,-0.007570965880735359,0.0,0.0,1.0
2020-10-02,0.00023697228734764764,0.00023697228734764764,0.0,0.0,1.0
2020-10-05,0.001700392210030044,0.001700392210030044,0.0,0.0,1.0
2020-10-06,0.0004805655037840584,0.0004805655037840584,0.0,0.0,1.0
